한글 이름,영문 이름,제품 설명,제품 영양 정보,1회 제공량(kcal)80포화지방(g)2단백질(g)1지방(g)2.7트랜스지방(g)0나트륨(mg)40당류(g)10카페인(mg)232콜레스테롤(mg)5탄수화물(g)10
나이트로 바닐라 크림,Nitro Vanilla Cream,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,Tall(톨) /355ml,80
나이트로 바닐라 크림,Nitro Vanilla Cream,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,Tall(톨) /355ml,80
